bairro,ano,óbitos-gravidez,codigo
GAVEA,2012,0,029
VIDIGAL,2012,0,030
PRACA DA BANDEIRA,2012,1,032
TIJUCA,2012,0,033
MARACANA,2012,0,035
VILA ISABEL,2012,0,036
ANDARAI,2012,0,037
GRAJAU,2012,0,038
MANGUINHOS,2012,0,039
BONSUCESSO,2012,0,040
RAMOS,2012,0,041
OLARIA,2012,0,042
PENHA,2012,0,043
PENHA CIRCULAR,2012,0,044
BRAS DE PINA,2012,0,045
CORDOVIL,2012,0,046
PARADA DE LUCAS,2012,0,047
VIGARIO GERAL,2012,0,048
JARDIM AMERICA,2012,0,049
HIGIENOPOLIS,2012,0,050
JACARE,2012,0,051
DEL CASTILHO,2012,0,053
INHAUMA,2012,0,054
ENGENHO DA RAINHA,2012,0,055
TOMAS COELHO,2012,0,056
ROCHA,2012,0,058
ENGENHO NOVO,2012,0,061
LINS DE VASCONCELOS,2012,0,062
TODOS OS SANTOS,2012,0,064
CACHAMBI,2012,0,065
ENGENHO DE DENTRO,2012,0,066
PIEDADE,2012,0,069
PILARES,2012,0,071
VILA KOSMOS,2012,0,072
VICENTE DE CARVALHO,2012,0,073
VILA DA PENHA,2012,0,074
VISTA ALEGRE,2012,0,075
IRAJA,2012,0,076
COLEGIO,2012,0,077
QUINTINO BOCAIUVA,2012,0,079
CAVALCANTE,2012,0,080
ENGENHEIRO LEAL,2012,0,081
MADUREIRA,2012,1,083
ROCHA MIRANDA,2012,0,086
OSWALDO CRUZ,2012,0,088
BENTO RIBEIRO,2012,0,089
MARECHAL HERMES,2012,0,090
CACUIA,2012,0,093
PITANGUEIRAS,2012,0,094
FREGUESIA-ILHA,2012,1,098
JARDIM GUANABARA,2012,0,099
JARDIM CARIOCA,2012,0,100
TAUA,2012,0,101
MONERO,2012,0,102
PORTUGUESA,2012,0,103
GALEAO,2012,0,104
GUADALUPE,2012,0,106
ANCHIETA,2012,0,107
RICARDO ALBUQUERQUE,2012,0,109
COELHO NETO,2012,0,110
ACARI,2012,0,111
BARROS FILHO,2012,0,112
COSTA BARROS,2012,0,113
PAVUNA,2012,0,114
JACAREPAGUA,2012,0,115
ANIL,2012,1,116
GARDENIA AZUL,2012,1,117
CIDADE DE DEUS,2012,0,118
CURICICA,2012,0,119
FREGUESIA-JPA,2012,0,120
TAQUARA,2012,1,122
TANQUE,2012,0,123
PRACA SECA,2012,0,124
VILA VALQUEIRE,2012,0,125
ITANHANGA,2012,1,127
BARRA DA TIJUCA,2012,0,128
VARGEM PEQUENA,2012,0,130
RECREIO BANDEIRANTES,2012,1,132
VILA MILITAR,2012,0,135
MAGALHAES BASTOS,2012,0,138
REALENGO,2012,0,139
PADRE MIGUEL,2012,0,140
BANGU,2012,2,141
SENADOR CAMARA,2012,1,142
SANTISSIMO,2012,0,143
CAMPO GRANDE,2012,1,144
SENADOR VASCONCELOS,2012,0,145
INHOAIBA,2012,0,146
COSMOS,2012,0,147
PACIENCIA,2012,0,148
SANTA CRUZ,2012,0,149
SEPETIBA,2012,1,150
GUARATIBA,2012,0,151
BARRA DE GUARATIBA,2012,0,152
PEDRA DE GUARATIBA,2012,1,153
ROCINHA,2012,0,154
JACAREZINHO,2012,0,155
COMPLEXO DO ALEMAO,2012,0,156
COMPLEXO DA MARE,2012,0,157
PARQUE COLUMBIA,2012,0,158
VASCO DA GAMA,2012,0,159
ILHA DO GOVERNADOR - IGNORADO,2012,0,998
IGNORADO BAIRRO-MRJ,2012,0,999
,2012,6,
SAUDE,2013,0,001
GAMBOA,2013,0,002
CAJU,2013,1,004
CENTRO,2013,0,005
CATUMBI,2013,0,006
RIO COMPRIDO,2013,2,007
CIDADE NOVA,2013,0,008
ESTACIO,2013,0,009
SAO CRISTOVAO,2013,1,010
MANGUEIRA,2013,0,011
BENFICA,2013,0,012
SANTA TERESA,2013,0,014
FLAMENGO,2013,0,015
BOTAFOGO,2013,0,020
COPACABANA,2013,0,024
IPANEMA,2013,0,025
GAVEA,2013,0,029
VIDIGAL,2013,0,030
PRACA DA BANDEIRA,2013,0,032
TIJUCA,2013,1,033
MARACANA,2013,0,035
VILA ISABEL,2013,0,036
ANDARAI,2013,0,037
GRAJAU,2013,0,038
MANGUINHOS,2013,0,039
BONSUCESSO,2013,0,040
RAMOS,2013,0,041
OLARIA,2013,0,042
PENHA,2013,1,043
PENHA CIRCULAR,2013,0,044
BRAS DE PINA,2013,0,045
CORDOVIL,2013,0,046
PARADA DE LUCAS,2013,0,047
VIGARIO GERAL,2013,0,048
JARDIM AMERICA,2013,0,049
HIGIENOPOLIS,2013,0,050
JACARE,2013,0,051
DEL CASTILHO,2013,0,053
INHAUMA,2013,0,054
ENGENHO DA RAINHA,2013,0,055
TOMAS COELHO,2013,0,056
ROCHA,2013,0,058
ENGENHO NOVO,2013,2,061
LINS DE VASCONCELOS,2013,0,062
TODOS OS SANTOS,2013,0,064
CACHAMBI,2013,0,065
ENGENHO DE DENTRO,2013,1,066
PIEDADE,2013,0,069
PILARES,2013,0,071
VILA KOSMOS,2013,0,072
VICENTE DE CARVALHO,2013,0,073
VILA DA PENHA,2013,0,074
VISTA ALEGRE,2013,0,075
IRAJA,2013,0,076
COLEGIO,2013,1,077
QUINTINO BOCAIUVA,2013,1,079
CAVALCANTE,2013,0,080
ENGENHEIRO LEAL,2013,0,081
MADUREIRA,2013,0,083
ROCHA MIRANDA,2013,0,086
OSWALDO CRUZ,2013,0,088
BENTO RIBEIRO,2013,0,089
MARECHAL HERMES,2013,0,090
CACUIA,2013,0,093
PITANGUEIRAS,2013,0,094
FREGUESIA-ILHA,2013,0,098
JARDIM GUANABARA,2013,0,099
JARDIM CARIOCA,2013,0,100
TAUA,2013,0,101
MONERO,2013,0,102
PORTUGUESA,2013,1,103
GALEAO,2013,0,104
GUADALUPE,2013,2,106
ANCHIETA,2013,0,107
RICARDO ALBUQUERQUE,2013,1,109
COELHO NETO,2013,1,110
ACARI,2013,0,111
BARROS FILHO,2013,0,112
COSTA BARROS,2013,0,113
PAVUNA,2013,2,114
JACAREPAGUA,2013,1,115
ANIL,2013,0,116
GARDENIA AZUL,2013,0,117
CIDADE DE DEUS,2013,0,118
CURICICA,2013,0,119
FREGUESIA-JPA,2013,0,120
TAQUARA,2013,0,122
TANQUE,2013,0,123
PRACA SECA,2013,0,124
VILA VALQUEIRE,2013,0,125
ITANHANGA,2013,0,127
BARRA DA TIJUCA,2013,1,128
VARGEM PEQUENA,2013,0,130
RECREIO BANDEIRANTES,2013,0,132
VILA MILITAR,2013,0,135
MAGALHAES BASTOS,2013,0,138
REALENGO,2013,0,139
PADRE MIGUEL,2013,0,140
BANGU,2013,0,141
SENADOR CAMARA,2013,1,142
SANTISSIMO,2013,0,143
CAMPO GRANDE,2013,1,144
SENADOR VASCONCELOS,2013,0,145
INHOAIBA,2013,0,146
COSMOS,2013,0,147
PACIENCIA,2013,1,148
SANTA CRUZ,2013,1,149
SEPETIBA,2013,0,150
GUARATIBA,2013,1,151
BARRA DE GUARATIBA,2013,0,152
PEDRA DE GUARATIBA,2013,0,153
ROCINHA,2013,0,154
JACAREZINHO,2013,1,155
COMPLEXO DO ALEMAO,2013,0,156
COMPLEXO DA MARE,2013,2,157
PARQUE COLUMBIA,2013,1,158
VASCO DA GAMA,2013,0,159
ILHA DO GOVERNADOR - IGNORADO,2013,0,998
IGNORADO BAIRRO-MRJ,2013,0,999
,2013,8,
SAUDE,2014,0,001
GAMBOA,2014,1,002
CAJU,2014,0,004
CENTRO,2014,0,005
CATUMBI,2014,0,006
RIO COMPRIDO,2014,0,007
CIDADE NOVA,2014,0,008
ESTACIO,2014,0,009
SAO CRISTOVAO,2014,1,010
MANGUEIRA,2014,0,011
BENFICA,2014,0,012
SANTA TERESA,2014,0,014
FLAMENGO,2014,0,015
BOTAFOGO,2014,2,020
COPACABANA,2014,0,024
IPANEMA,2014,0,025
GAVEA,2014,0,029
VIDIGAL,2014,0,030
PRACA DA BANDEIRA,2014,0,032
TIJUCA,2014,0,033
MARACANA,2014,0,035
VILA ISABEL,2014,2,036
ANDARAI,2014,0,037
GRAJAU,2014,0,038
MANGUINHOS,2014,0,039
BONSUCESSO,2014,0,040
RAMOS,2014,0,041
OLARIA,2014,0,042
PENHA,2014,1,043
PENHA CIRCULAR,2014,0,044
BRAS DE PINA,2014,0,045
CORDOVIL,2014,0,046
PARADA DE LUCAS,2014,0,047
VIGARIO GERAL,2014,0,048
JARDIM AMERICA,2014,1,049
HIGIENOPOLIS,2014,0,050
JACARE,2014,0,051
DEL CASTILHO,2014,0,053
INHAUMA,2014,4,054
ENGENHO DA RAINHA,2014,0,055
TOMAS COELHO,2014,0,056
ROCHA,2014,0,058
ENGENHO NOVO,2014,0,061
LINS DE VASCONCELOS,2014,0,062
TODOS OS SANTOS,2014,0,064
CACHAMBI,2014,0,065
ENGENHO DE DENTRO,2014,0,066
PIEDADE,2014,0,069
PILARES,2014,0,071
VILA KOSMOS,2014,0,072
VICENTE DE CARVALHO,2014,0,073
VILA DA PENHA,2014,0,074
VISTA ALEGRE,2014,0,075
IRAJA,2014,0,076
COLEGIO,2014,0,077
QUINTINO BOCAIUVA,2014,0,079
CAVALCANTE,2014,0,080
ENGENHEIRO LEAL,2014,0,081
MADUREIRA,2014,0,083
ROCHA MIRANDA,2014,0,086
OSWALDO CRUZ,2014,0,088
BENTO RIBEIRO,2014,0,089
MARECHAL HERMES,2014,0,090
CACUIA,2014,0,093
PITANGUEIRAS,2014,0,094
FREGUESIA-ILHA,2014,0,098
JARDIM GUANABARA,2014,0,099
JARDIM CARIOCA,2014,0,100
TAUA,2014,0,101
MONERO,2014,0,102
PORTUGUESA,2014,0,103
GALEAO,2014,0,104
GUADALUPE,2014,0,106
ANCHIETA,2014,0,107
RICARDO ALBUQUERQUE,2014,0,109
COELHO NETO,2014,0,110
ACARI,2014,1,111
BARROS FILHO,2014,0,112
COSTA BARROS,2014,0,113
PAVUNA,2014,1,114
JACAREPAGUA,2014,1,115
ANIL,2014,0,116
GARDENIA AZUL,2014,0,117
CIDADE DE DEUS,2014,0,118
CURICICA,2014,0,119
FREGUESIA-JPA,2014,0,120
TAQUARA,2014,0,122
TANQUE,2014,0,123
PRACA SECA,2014,0,124
VILA VALQUEIRE,2014,0,125
ITANHANGA,2014,0,127
BARRA DA TIJUCA,2014,0,128
VARGEM PEQUENA,2014,1,130
RECREIO BANDEIRANTES,2014,0,132
VILA MILITAR,2014,0,135
MAGALHAES BASTOS,2014,0,138
REALENGO,2014,1,139
PADRE MIGUEL,2014,0,140
BANGU,2014,1,141
SENADOR CAMARA,2014,1,142
SANTISSIMO,2014,1,143
CAMPO GRANDE,2014,3,144
SENADOR VASCONCELOS,2014,0,145
INHOAIBA,2014,0,146
COSMOS,2014,1,147
PACIENCIA,2014,1,148
SANTA CRUZ,2014,4,149
SEPETIBA,2014,0,150
GUARATIBA,2014,2,151
BARRA DE GUARATIBA,2014,0,152
PEDRA DE GUARATIBA,2014,0,153
ROCINHA,2014,1,154
JACAREZINHO,2014,0,155
COMPLEXO DO ALEMAO,2014,1,156
COMPLEXO DA MARE,2014,2,157
PARQUE COLUMBIA,2014,0,158
VASCO DA GAMA,2014,0,159
ILHA DO GOVERNADOR - IGNORADO,2014,0,998
IGNORADO BAIRRO-MRJ,2014,0,999
,2014,5,
SAUDE,2015,0,001
GAMBOA,2015,0,002
CAJU,2015,0,004
CENTRO,2015,0,005
CATUMBI,2015,0,006
RIO COMPRIDO,2015,0,007
CIDADE NOVA,2015,0,008
ESTACIO,2015,0,009
SAO CRISTOVAO,2015,0,010
MANGUEIRA,2015,0,011
BENFICA,2015,0,012
SANTA TERESA,2015,0,014
FLAMENGO,2015,0,015
BOTAFOGO,2015,0,020
COPACABANA,2015,0,024
IPANEMA,2015,0,025
GAVEA,2015,0,029
VIDIGAL,2015,0,030
PRACA DA BANDEIRA,2015,0,032
TIJUCA,2015,0,033
MARACANA,2015,0,035
VILA ISABEL,2015,0,036
ANDARAI,2015,0,037
GRAJAU,2015,0,038
MANGUINHOS,2015,0,039
BONSUCESSO,2015,0,040
RAMOS,2015,0,041
OLARIA,2015,0,042
PENHA,2015,0,043
PENHA CIRCULAR,2015,1,044
BRAS DE PINA,2015,0,045
CORDOVIL,2015,1,046
PARADA DE LUCAS,2015,0,047
VIGARIO GERAL,2015,1,048
JARDIM AMERICA,2015,0,049
HIGIENOPOLIS,2015,0,050
JACARE,2015,0,051
DEL CASTILHO,2015,0,053
INHAUMA,2015,0,054
ENGENHO DA RAINHA,2015,0,055
TOMAS COELHO,2015,0,056
ROCHA,2015,0,058
ENGENHO NOVO,2015,0,061
LINS DE VASCONCELOS,2015,0,062
TODOS OS SANTOS,2015,0,064
CACHAMBI,2015,0,065
ENGENHO DE DENTRO,2015,0,066
PIEDADE,2015,0,069
PILARES,2015,0,071
VILA KOSMOS,2015,0,072
VICENTE DE CARVALHO,2015,0,073
VILA DA PENHA,2015,0,074
VISTA ALEGRE,2015,0,075
IRAJA,2015,1,076
COLEGIO,2015,0,077
QUINTINO BOCAIUVA,2015,0,079
CAVALCANTE,2015,0,080
ENGENHEIRO LEAL,2015,0,081
MADUREIRA,2015,0,083
ROCHA MIRANDA,2015,0,086
OSWALDO CRUZ,2015,0,088
BENTO RIBEIRO,2015,0,089
MARECHAL HERMES,2015,0,090
CACUIA,2015,0,093
PITANGUEIRAS,2015,0,094
FREGUESIA-ILHA,2015,0,098
JARDIM GUANABARA,2015,0,099
JARDIM CARIOCA,2015,0,100
TAUA,2015,0,101
MONERO,2015,0,102
PORTUGUESA,2015,0,103
GALEAO,2015,0,104
GUADALUPE,2015,0,106
ANCHIETA,2015,0,107
RICARDO ALBUQUERQUE,2015,0,109
COELHO NETO,2015,0,110
ACARI,2015,1,111
BARROS FILHO,2015,0,112
COSTA BARROS,2015,0,113
PAVUNA,2015,0,114
JACAREPAGUA,2015,0,115
ANIL,2015,0,116
GARDENIA AZUL,2015,1,117
CIDADE DE DEUS,2015,0,118
CURICICA,2015,1,119
