bairro,ano,obitos precoces,codigo,nascidos vivos,taxa_mortalidade_precoce
TAQUARA,2008,6,122,1685,3.5608308605341246
TANQUE,2008,2,123,467,4.282655246252677
PRACA SECA,2008,5,124,807,6.195786864931847
VILA VALQUEIRE,2008,6,125,422,14.218009478672984
JOA,2008,0,126,9,0.0
ITANHANGA,2008,2,127,390,5.128205128205129
BARRA DA TIJUCA,2008,4,128,1563,2.5591810620601407
CAMORIM,2008,1,129,58,17.241379310344826
VARGEM PEQUENA,2008,0,130,287,0.0
VARGEM GRANDE,2008,0,131,232,0.0
RECREIO BANDEIRANTES,2008,7,132,1093,6.404391582799634
DEODORO,2008,0,134,191,0.0
VILA MILITAR,2008,0,135,38,0.0
CAMPO DOS AFONSOS,2008,0,136,11,0.0
JARDIM SULACAP,2008,0,137,189,0.0
MAGALHAES BASTOS,2008,1,138,373,2.680965147453083
REALENGO,2008,23,139,2216,10.379061371841155
PADRE MIGUEL,2008,6,140,895,6.70391061452514
BANGU,2008,21,141,3124,6.722151088348271
SENADOR CAMARA,2008,13,142,1300,10.0
SANTISSIMO,2008,3,143,808,3.7128712871287126
CAMPO GRANDE,2008,28,144,5553,5.042319466954799
SENADOR VASCONCELOS,2008,2,145,218,9.174311926605505
INHOAIBA,2008,2,146,667,2.998500749625187
COSMOS,2008,9,147,754,11.936339522546419
PACIENCIA,2008,6,148,1329,4.514672686230248
SANTA CRUZ,2008,20,149,3525,5.673758865248227
SEPETIBA,2008,7,150,826,8.474576271186441
GUARATIBA,2008,14,151,1203,11.637572734829593
BARRA DE GUARATIBA,2008,1,152,86,11.627906976744185
PEDRA DE GUARATIBA,2008,2,153,576,3.472222222222222
ROCINHA,2008,9,154,1152,7.8125
JACAREZINHO,2008,3,155,286,10.48951048951049
COMPLEXO DO ALEMAO,2008,3,156,252,11.904761904761903
COMPLEXO DA MARE,2008,10,157,1620,6.172839506172839
PARQUE COLUMBIA,2008,0,158,0,
VASCO DA GAMA,2008,0,159,0,
GERICINo,2008,0,160,0,
LAPA,2008,0,161,0,
VILA KENNEDY,2008,0,162,0,
ILHA DE GUARATIBA,2008,0,164,0,
BARRA OLIMPICA,2008,0,165,0,
ILHA DO GOVERNADOR - IGNORADO,2008,2,998,160,12.5
IGNORADO BAIRRO-MRJ,2008,0,999,544,0.0
,2008,171,,10023,17.06076025142173
SAUDE,2009,2,001,118,16.949152542372882
GAMBOA,2009,0,002,128,0.0
SANTO CRISTO,2009,2,003,214,9.345794392523365
CAJU,2009,2,004,444,4.504504504504505
CENTRO,2009,5,005,474,10.548523206751055
CATUMBI,2009,2,006,251,7.968127490039841
RIO COMPRIDO,2009,3,007,623,4.815409309791332
CIDADE NOVA,2009,0,008,92,0.0
ESTACIO,2009,1,009,302,3.3112582781456954
SAO CRISTOVAO,2009,9,010,711,12.658227848101266
MANGUEIRA,2009,3,011,341,8.797653958944283
BENFICA,2009,4,012,630,6.349206349206349
PAQUETA,2009,0,013,31,0.0
SANTA TERESA,2009,5,014,460,10.869565217391305
FLAMENGO,2009,1,015,381,2.6246719160104988
GLORIA,2009,2,016,153,13.071895424836601
LARANJEIRAS,2009,1,017,390,2.5641025641025643
CATETE,2009,1,018,193,5.181347150259067
COSME VELHO,2009,0,019,97,0.0
BOTAFOGO,2009,2,020,797,2.509410288582183
HUMAITA,2009,1,021,120,8.333333333333334
URCA,2009,0,022,44,0.0
LEME,2009,0,023,111,0.0
COPACABANA,2009,8,024,1164,6.8728522336769755
IPANEMA,2009,2,025,354,5.649717514124294
LEBLON,2009,0,026,355,0.0
LAGOA,2009,1,027,196,5.1020408163265305
JARDIM BOTANICO,2009,0,028,181,0.0
GAVEA,2009,0,029,277,0.0
VIDIGAL,2009,0,030,225,0.0
SAO CONRADO,2009,0,031,111,0.0
PRACA DA BANDEIRA,2009,0,032,98,0.0
TIJUCA,2009,10,033,1593,6.277463904582548
ALTO DA BOA VISTA,2009,1,034,112,8.928571428571429
MARACANA,2009,1,035,221,4.524886877828055
VILA ISABEL,2009,5,036,783,6.385696040868455
ANDARAI,2009,2,037,344,5.813953488372093
GRAJAU,2009,0,038,399,0.0
MANGUINHOS,2009,4,039,563,7.104795737122558
BONSUCESSO,2009,4,040,444,9.00900900900901
RAMOS,2009,4,041,758,5.277044854881266
OLARIA,2009,7,042,670,10.447761194029852
PENHA,2009,5,043,1209,4.1356492969396195
PENHA CIRCULAR,2009,1,044,330,3.0303030303030303
BRAS DE PINA,2009,5,045,556,8.992805755395683
CORDOVIL,2009,5,046,594,8.417508417508417
PARADA DE LUCAS,2009,1,047,312,3.205128205128205
VIGARIO GERAL,2009,2,048,426,4.694835680751174
JARDIM AMERICA,2009,5,049,515,9.70873786407767
HIGIENOPOLIS,2009,0,050,151,0.0
JACARE,2009,0,051,341,0.0
MARIA DA GRACA,2009,0,052,84,0.0
