codigo,bairro,ano,obitos_amarela,obitos_branca,obitos_indigena,obitos_parda,obitos_preta,obitos_nao_informado,nascidos_amarela,nascidos_branca,nascidos_indigena,nascidos_parda,nascidos_preta,nascidos_nao_informado,percentual_amarela,percentual_branca,percentual_indigena,percentual_parda,percentual_preta,percentual_nao_informado,obitos_total,nascidos_total,percentual_total
103,PORTUGUESA,2025,0.0,0.0,0.0,1.0,0.0,1.0,1.0,45.0,1.0,58.0,20.0,2.0,0.0,0.0,0.0,1.72,0.0,50.0,2.0,127.0,1.57
032,PRACA DA BANDEIRA,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,23.0,5.0,1.0,,0.0,,0.0,0.0,0.0,0.0,57.0,0.0
124,PRACA SECA,2025,0.0,3.0,0.0,5.0,2.0,0.0,2.0,180.0,0.0,281.0,96.0,8.0,0.0,1.67,,1.78,2.08,0.0,10.0,567.0,1.76
095,PRAIA DA BANDEIRA,2025,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,12.0,4.0,0.0,0.0,0.0,,0.0,0.0,,0.0,37.0,0.0
079,QUINTINO BOCAIUVA,2025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,96.0,44.0,2.0,,0.0,,0.0,2.27,0.0,1.0,202.0,0.5
041,RAMOS,2025,0.0,2.0,0.0,2.0,0.0,0.0,4.0,159.0,0.0,214.0,99.0,3.0,0.0,1.26,,0.93,0.0,0.0,4.0,479.0,0.84
139,REALENGO,2025,0.0,4.0,0.0,13.0,0.0,0.0,5.0,385.0,4.0,750.0,311.0,8.0,0.0,1.04,0.0,1.73,0.0,0.0,17.0,1463.0,1.16
132,RECREIO BANDEIRANTES,2025,0.0,7.0,0.0,2.0,0.0,0.0,7.0,733.0,0.0,435.0,63.0,7.0,0.0,0.95,,0.46,0.0,0.0,9.0,1245.0,0.72
059,RIACHUELO,2025,0.0,1.0,0.0,0.0,1.0,0.0,1.0,28.0,0.0,29.0,8.0,0.0,0.0,3.57,,0.0,12.5,,2.0,66.0,3.03
091,RIBEIRA,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,8.0,3.0,1.0,,0.0,,12.5,0.0,0.0,1.0,23.0,4.35
109,RICARDO ALBUQUERQUE,2025,0.0,1.0,0.0,1.0,0.0,0.0,1.0,56.0,0.0,152.0,52.0,1.0,0.0,1.79,,0.66,0.0,0.0,2.0,262.0,0.76
007,RIO COMPRIDO,2025,0.0,2.0,0.0,3.0,0.0,0.0,3.0,129.0,2.0,142.0,71.0,2.0,0.0,1.55,0.0,2.11,0.0,0.0,5.0,349.0,1.43
058,ROCHA,2025,0.0,0.0,0.0,4.0,0.0,1.0,0.0,54.0,0.0,79.0,45.0,0.0,,0.0,,5.06,0.0,,5.0,178.0,2.81
086,ROCHA MIRANDA,2025,0.0,1.0,0.0,2.0,1.0,1.0,0.0,90.0,0.0,131.0,102.0,1.0,,1.11,,1.53,0.98,100.0,5.0,324.0,1.54
154,ROCINHA,2025,0.0,4.0,0.0,4.0,0.0,1.0,1.0,197.0,2.0,409.0,80.0,7.0,0.0,2.03,0.0,0.98,0.0,14.29,9.0,696.0,1.29
060,SAMPAIO,2025,0.0,0.0,0.0,2.0,1.0,0.0,0.0,29.0,0.0,50.0,20.0,0.0,,0.0,,4.0,5.0,,3.0,99.0,3.03
149,SANTA CRUZ,2025,0.0,14.0,0.0,36.0,2.0,1.0,12.0,678.0,0.0,1704.0,709.0,83.0,0.0,2.06,,2.11,0.28,1.2,53.0,3186.0,1.66
014,SANTA TERESA,2025,0.0,1.0,0.0,3.0,0.0,0.0,2.0,104.0,1.0,138.0,68.0,3.0,0.0,0.96,0.0,2.17,0.0,0.0,4.0,316.0,1.27
143,SANTISSIMO,2025,0.0,0.0,0.0,8.0,0.0,0.0,2.0,125.0,2.0,255.0,83.0,4.0,0.0,0.0,0.0,3.14,0.0,0.0,8.0,471.0,1.7
003,SANTO CRISTO,2025,0.0,0.0,0.0,2.0,0.0,1.0,2.0,32.0,1.0,66.0,28.0,0.0,0.0,0.0,0.0,3.03,0.0,,3.0,129.0,2.33
031,SAO CONRADO,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,20.0,6.0,0.0,,0.0,,0.0,0.0,,0.0,85.0,0.0
010,SAO CRISTOVAO,2025,0.0,1.0,0.0,1.0,0.0,1.0,0.0,98.0,1.0,130.0,60.0,1.0,,1.02,0.0,0.77,0.0,100.0,3.0,290.0,1.03
057,SAO FRANCISCO XAVIER,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,24.0,15.0,0.0,,0.0,,4.17,0.0,,1.0,55.0,1.82
