bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
Anil;116;116;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1504;1833;1765;1751;1898;2257;5354;5104;4164;3283;2972
Gardênia Azul;117;117;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1227;1342;1345;1318;1801;1847;3573;3120;2351;1560;1006
Cidade de Deus;118;118;CIDADE DE DEUS;34;XXXIV Cidade de Deus;Jacarepaguá;4.1;Área de Planejamento 4;4;1968;2255;2120;2268;2599;2449;4245;3834;3839;2779;1941
Curicica;119;119;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1485;1720;1662;1691;2098;2215;4532;4172;4001;3114;2326
Freguesia (Jacarepaguá);120;120;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;3266;3944;3949;3996;4386;4547;10972;12406;10490;8507;8239
Pechincha;121;121;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1656;2013;1999;1864;2183;2475;6253;6396;5128;4708;4285
Taquara;122;122;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;5078;5967;5716;5866;6853;7280;16522;16757;14144;12383;10833
Tanque;123;123;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1818;2191;2202;2146;2516;2687;5589;5367;4739;4047;3373
Praça Seca;124;124;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;3399;3938;3784;3905;4397;4646;8873;9297;8144;6869;6027
Vila Valqueire;125;125;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1382;1755;1706;1867;2150;2148;4534;5136;4896;4478;3967
Joá;126;126;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;22;35;46;45;34;50;157;184;166;104;140
Itanhangá;127;127;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;4220;5310;4091;4589;6469;6763;12931;10893;6714;3778;2046
Barra da Tijuca;128;128;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;5310;6448;6332;6385;6844;7378;20054;23138;20228;18788;21233
Camorim;129;129;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;83;87;65;106;125;100;216;183;134;93;80
Vargem Pequena;130;130;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;1827;2057;2131;2094;2369;2459;5157;4861;3661;2319;1473
