codigo,bairro,ano,obitos_amarela,obitos_branca,obitos_indigena,obitos_parda,obitos_preta,obitos_nao_informado,nascidos_amarela,nascidos_branca,nascidos_indigena,nascidos_parda,nascidos_preta,nascidos_nao_informado,percentual_amarela,percentual_branca,percentual_indigena,percentual_parda,percentual_preta,percentual_nao_informado
098,FREGUESIA-ILHA,2007,0.0,1.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,
120,FREGUESIA-JPA,2007,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
104,GALEAO,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
002,GAMBOA,2007,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
117,GARDENIA AZUL,2007,0.0,1.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,
029,GAVEA,2007,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
160,GERICINo,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
016,GLORIA,2007,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
038,GRAJAU,2007,0.0,4.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
106,GUADALUPE,2007,0.0,3.0,0.0,4.0,1.0,3.0,,,,,,,,,,,,
151,GUARATIBA,2007,0.0,8.0,0.0,9.0,0.0,1.0,,,,,,,,,,,,
050,HIGIENOPOLIS,2007,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,
087,HONORIO GURGEL,2007,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
021,HUMAITA,2007,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
999,IGNORADO BAIRRO-MRJ,2007,0.0,6.0,0.0,8.0,0.0,1.0,,,,,,,,,,,,
164,ILHA DE GUARATIBA,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
998,ILHA DO GOVERNADOR - IGNORADO,2007,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,
054,INHAUMA,2007,0.0,7.0,0.0,5.0,1.0,3.0,,,,,,,,,,,,
146,INHOAIBA,2007,0.0,5.0,0.0,4.0,1.0,0.0,,,,,,,,,,,,
025,IPANEMA,2007,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
076,IRAJA,2007,0.0,8.0,0.0,11.0,0.0,5.0,,,,,,,,,,,,
127,ITANHANGA,2007,0.0,6.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,
051,JACARE,2007,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
115,JACAREPAGUA,2007,0.0,20.0,0.0,12.0,0.0,3.0,,,,,,,,,,,,
155,JACAREZINHO,2007,0.0,1.0,0.0,3.0,2.0,1.0,,,,,,,,,,,,
049,JARDIM AMERICA,2007,0.0,2.0,0.0,4.0,1.0,0.0,,,,,,,,,,,,
028,JARDIM BOTANICO,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
100,JARDIM CARIOCA,2007,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
099,JARDIM GUANABARA,2007,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
137,JARDIM SULACAP,2007,0.0,2.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,
126,JOA,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
027,LAGOA,2007,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
161,LAPA,2007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
017,LARANJEIRAS,2007,0.0,2.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,
026,LEBLON,2007,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
023,LEME,2007,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,
062,LINS DE VASCONCELOS,2007,0.0,2.0,0.0,5.0,1.0,4.0,,,,,,,,,,,,
083,MADUREIRA,2007,0.0,3.0,0.0,5.0,2.0,0.0,,,,,,,,,,,,
138,MAGALHAES BASTOS,2007,0.0,3.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,
011,MANGUEIRA,2007,0.0,2.0,0.0,3.0,0.0,1.0,,,,,,,,,,,,
039,MANGUINHOS,2007,0.0,1.0,0.0,4.0,2.0,1.0,,,,,,,,,,,,
035,MARACANA,2007,0.0,2.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
090,MARECHAL HERMES,2007,0.0,0.0,0.0,5.0,0.0,1.0,,,,,,,,,,,,
