Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
157 COMPLEXO DA MARE;4;3;10;7;3;7;10;15;9;19;21;9;6;8;9;8;12;11;8;2;181
158 PARQUE COLUMBIA;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;2;0;0;5
159 VASCO DA GAMA;0;0;0;0;0;0;0;0;0;1;1;2;1;2;1;1;1;0;2;0;12
160 GERICINo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
161 LAPA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;4
162 VILA KENNEDY;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;0;1;0;0;8
164 ILHA DE GUARATIBA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
165 BARRA OLIMPICA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;6
998 ILHA DO GOVERNADOR - IGNORADO;1;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
999 IGNORADO BAIRRO-MRJ;1;6;1;2;2;0;2;1;0;1;2;1;1;1;1;1;0;1;1;0;25
EM BRANCO;160;148;165;166;153;169;178;139;138;137;139;122;113;115;111;77;66;62;58;53;2469
Total;628;589;605;625;591;612;659;561;541;556;551;462;445;482;433;364;363;350;342;325;10084
